card_no,title,card_type,cp,turn_of_entry,removed_after_event,text
1,Janissaries,Home,5,1,No,Gain 5 extra dice in a field battle or 4 extra dice in a naval combat. Play after seeing both sides' rolls. OR Add 4 new regulars to any combination of controlled Ottoman home spaces and/or foreign war cards (but not in Algiers or a pirate haven).
2,Holy Roman Emperor,Home,5,1,No,"If Charles V is not captured or under siege, move Charles V to any controlled Hapsburg home space not in unrest and not occupied by enemy units; then conduct 5 CP of actions. Duke of Alva may accompany Charles if he began the impulse in the same space as Charles."
3,Six Wives of Henry VIII,Home,5,1,No,"Declare war on France, Hapsburgs, or Scotland during the Action Phase and then conduct 5 CP. If declaration is against Scotland, France may intervene without playing a card. In this case, England and France are at war and Scotland is activated as a French ally. OR If Turn 2 or later and Henry is alive, not captured, and not under siege, advance Marital Status marker one space to right and resolve using procedure in 21.3 (rolling on Pregnancy Table if Henry remarries)."
4,Patron of the Arts,Home,5,1,No,"If Francis I is ruler and not captured or under siege, make a roll on the Chateaux Table to attempt to earn VP and/or additional cards."
5,Papal Bull,Home,4,1,No,"Excommunicate a Protestant reformer. You may also call a Theological Debate in the same language zone as the excommunication. OR If grounds for excommunication exist (see 21.5), excommunicate the ruler of England, France, or Hapsburgs. Place Unrest markers on up to 2 of that power's unoccupied home spaces which are under Catholic religious influence."
6,Leipzig Debate,Home,3,1,No,Call a Theological Debate. You can either specify your own debater or specify that one Protestant debater is not available during any one round of this debate.
7,Here I Stand,Home,5,1,No,"If Luther is alive, Protestant may use this card to retrieve any card in the discard pile, playing or holding that card. OR If Luther is alive, Protestant may substitute Luther (even if committed) for any debater during any round of a debate in the German language zone and then draw a new card. Replaced debater becomes committed (if he wasn't already); Luther returns off-map after debate if he was excommunicated when debate was called."
8,Luther's 95 Theses,Mandatory,,1,Yes,Add Luther at Wittenberg. Convert Wittenberg to Protestant religious influence (2 regulars are moved there from the Electorate Display). Protestant player makes 5 Reformation attempts targeting the German language zone. Protestant rolls one extra die in each attempt. Bucer may be committed for his debater bonus during this event if desired.
9,Barbary Pirates,Mandatory,2,1,Yes,"Algiers space is now in play. Add an Ottoman square control marker, 2 Ottoman regulars, 2 corsairs, and Barbarossa to that space. Ottomans may now build corsairs and initiate piracy."
10,Clement VII,Mandatory,2,1,Yes,Leo X dies. Clement VII replaces Leo as the ruler of the Papacy. Place this card in the ruler space of the Papal power card.
11,Defender of the Faith,Mandatory,2,1,Yes,"Papal player makes 3 Counter Reformation attempts targeting all language zones. If played by England, English player draws 1 extra card after the Counter Reformation attempts."
12,Master of Italy,Mandatory,2,1,No,"If a power controls 3 or more of the following 5 keys: Genoa, Milan, Venice, Florence and Naples, that power gains bonus VP. Gain 1 VP for 3 keys controlled; 2 VP for 4 or 5 keys controlled. Any power controlling exactly 2 of these keys draws a card."
13,Schmalkaldic League,Mandatory,2,1,Yes*,"If it is Turn 2 or later and 12 or more spaces are currently under Protestant religious influence OR this is the Winter Phase of Turn 4, the Protestant defense league is formed as specified in 21.6. Protestant spaces in unrest count towards the total of 12."
14,Paul III,Mandatory,2,3,Yes,Clement VII dies; remove his card from the game. Place this card in the ruler space of the Papal power card. Papacy now wins ties during Counter Reformation attempts.
15,Society of Jesus,Mandatory,2,5,Yes,Papal player may choose 2 spaces under Catholic religious influence anywhere on the map and place a Jesuit University in each space. The Papal player may now found Jesuit universities.
16,Calvin,Mandatory,2,6,Yes,Luther dies; remove the Luther reformer and debater. Calvin replaces Luther as the ruler of this power. Place this card in the ruler space of the Protestant power card.
17,Council of Trent,Mandatory,2,6,No,"Papacy chooses up to 4 uncommitted debaters, then Protestant chooses up to 2 (from any combination of language zones). Commit them all. These powers then roll a number of dice equal to their debaters' total debate value. Each roll of 5 or 6 scores 1 hit. The power with more hits converts a number of spaces equal to the difference in hits to their religious influence. Spaces chosen must be eligible for a Ref/Cntr Ref attempt by that religion."
18,Dragut,Mandatory,2,6,Yes,"Barbarossa dies. Place Dragut in the same port or sea zone as Barbarossa, then remove Barbarossa from the game. If played when Barbarossa has been eliminated in naval combat this turn, place Dragut on the Turn Track."
19,Edward VI,Mandatory,2,6*,Yes,"Henry VIII dies. Edward VI replaces Henry as ruler of England; place this card in the ruler space of the English power card. The English player places Dudley in London or the same space as Henry, then removes Henry from the game. English armies are Protestant."
20,Henry II,Mandatory,2,6,Yes,"Francis I dies. Henry II replaces Francis as ruler of France; place this card in the ruler space of the French power card. The French player places Henry in Paris or the same space as Francis, then removes Francis from the game."
21,Mary I,Mandatory,2,6*,Yes,"Current ruler of England dies and is replaced by Mary. If Henry dies, the English player places Dudley in London or the same space as Henry, then removes Henry from the game. 50% chance each English card play will be used by the Papacy to Burn Books and call Theological Debates in England. English armies are Catholic."
22,Julius III,Mandatory,2,7,Yes,Paul III dies; remove his card from game. Place this card in the ruler space of the Papal power card. Papacy wins ties during Counter Reformation attempts.
23,Elizabeth I,Mandatory,2,Variable,Yes,Mary I dies. Elizabeth replaces Mary as ruler of England; place this card in the ruler space of the English power card. No chance that English cards can be used by Papacy. English armies are Protestant.
