归属,卡牌名称,费用,类型,卡牌分类,效果,资源,史书vp,名臣,文化标记,军事标记,权谋标记,内政标记,限定东晋,限定北方,僭越,已经标注,角色/初始,幕僚-名将,幕僚-谋主,幕僚-特殊,幕僚-艺术文化,策略-军备,策略-文化,策略-特殊,事件-艺术,事件-文化,事件-军事,事件-VP,事件-检索,事件-功能,事件-机制,事件-权谋,公共,total,儒学,玄学,佛学
统计,,1.48,,,,,,30,30,46,28,36,20,3,14,,,10,7,8,8,13,8,9,5,5,16,8,5,5,6,10,5,128,10,9,10
初始,流民,0,策略牌,初始,,-,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,士卒,0,策略牌,初始,朝堂：3军力,1军力,0,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,太常寺,0,策略牌,初始,朝堂：2vp，提升1级等级。,1军力,0,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,宫廷,0,策略牌,初始,朝堂：存档1张候选策略牌。,1军力,0,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,征辟人才,0,策略牌,初始,朝堂：摸2张牌。,1军力,0,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,北伐,1,策略牌,初始,朝堂：2军力。从东晋面板获得[北伐]标记。被动：[北伐]不能被存档或弃置。,2军力,0,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
初始,加官进爵,1,策略牌,初始,朝堂：支付1张手牌，然后提高1级顺位，传播1次[玄学]。被动：[加官进爵]不能被存档或弃置。,1军力2vp,0,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,1,
初始,轻骑兵,2,策略牌,初始,朝堂：2军力。选择1个玩家，随机抽取他的1张手牌。,2军力1vp,-9,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
苻坚,苻坚,-,角色牌,角色-北方,主动：支付1张手牌，然后摸1张牌，可以执行1个手牌行动。登场：转化[长安][弘农][安定][平阳],,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,
苻坚,邓羌,3,策略牌,幕僚-名将,名臣：支付2vp，然后获得3军力。补充1次。,3军力,-12,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
苻坚,王猛,2,策略牌,幕僚-特殊,名臣：支付1张手牌，然后存档1张候选策略牌。补充1次。,2军力1vp,-9,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,
苻坚,招抚,1,策略牌,策略-特殊,朝堂：转化1个相邻中立地点，可以打出1张名臣牌。,1军力2vp,-6,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,
慕容,慕容儁,-,角色牌,角色-北方,主动：支付1张手牌，然后摸1张牌，可以执行1个朝堂行动。登场：转化[蓟][龙城][中山],,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,
慕容,尊奉江东,1,策略牌,策略-特殊,朝堂：选择1个东晋玩家，给予其1张手牌，然后传播1次文化，转化1个相邻中立地点。,1军力2vp,-6,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,
慕容,幽州突骑,3,策略牌,策略-军备,朝堂：免费[进军]1次。获得3军力。被动：控制[幽燕]时，才能打出或执行。,3军力,-12,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,
慕容,慕容恪,3,策略牌,幕僚-名将,名臣：支付1vp，然后获得1军力，摸1张牌，补充1次。,2军力2vp,-12,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,
拓跋,拓跋珪,-,角色牌,角色-北方,主动：支付1张手牌，然后获得X军力，X=[军事]等级。登场：转化[盛乐][平城]，获得4军力。,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
拓跋,草原部落,1,策略牌,策略-特殊,朝堂：获得3军力，存档此牌。被动：每回合前2次[进军]时，费用减1。区域奖励改为0/1vp。,2军力,2,,,1,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,
拓跋,崔宏,1,策略牌,幕僚-谋主,名臣：支付1张手牌，然后摸1张牌。可以支付2军力，然后转化1个相邻中立地点。补充1次。,1军力2vp,-6,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
拓跋,漠北征伐,1,事件牌,事件-VP,控制[塞外]时，可以打出。将部队储备区的1个部队放回游戏盒中。存档此牌。,,3,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
北方,姚苌,2,事件牌,幕僚-特殊,转化2个相邻中立地点，存档此牌。终局：如果控制的地点数<=24，失去12vp。,,0,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
北方,鸠摩罗什,3,策略牌,幕僚-艺术文化,名臣：支付3军力，传播1次文化，然后，获得X vp，X=文化贡献等级之和。补充1次。,1军力4vp,-12,1,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
