[Item Amount],text_top,text_bottom,[Item Note]
1,凉州驻观,友方控制[西凉]区域：10vp{newline}玩家控制[西凉]区域：16vp,
1,新亭对泣,友方控制[中原]区域：16vp{newline}玩家控制[中原]区域：22vp,
1,关中故畿,友方控制[关中]区域：14vp{newline}玩家控制[关中]区域：20vp,
1,海岱之地,友方控制[山东]区域：8vp{newline}玩家控制[山东]区域：14vp,
1,赵魏雄藩,友方控制[河北]区域：16vp{newline}玩家控制[河北]区域：22vp,
1,配享武庙,威望超过6，且没有完成[加九锡]：10vp{newline}威望等于9，且没有完成[加九锡]：18vp,
1,加九锡,威望超过6：8vp{newline}威望最高，且超过第二名至少3点。：30vp,
1,加九锡,威望超过6：8vp{newline}威望最高，且超过第二名至少3点。：30vp,
1,家财万贯,手牌超过5张：6vp{newline}手牌超过8张：12vp,
1,遗臭万年,权谋等级>=3：6vp{newline}权谋等级>=5：14vp,
1,流芳百世,史书区有5张牌：8vp{newline}史书区有8张牌：16vp,
1,敦悦五经,儒学贡献超过3：6vp{newline}儒学贡献超过5，且儒学轨道露出的空格最多：16vp,
1,清言世业,玄学贡献超过3：6vp{newline}玄学贡献超过5，且玄学轨道露出的空格最多：16vp,
1,崇奉三宝,佛学贡献超过3：6vp{newline}佛学贡献超过5，且佛学轨道露出的空格最多：16vp,
1,配享太庙,功绩大于等于7：10vp{newline}功绩等于9：18vp,
1,入木三分,有1个等级轨道升级到5级：6vp{newline}有2个等级轨道升级到5级：14vp,
