[Item Amount],vp产能数字,vp产能数字:visible,军力数字,军力数字:visible,vp符号:visible,军力符号:visible,vp数字,vp数字:visible,费用数字,费用数字:visible,text_top,text_top:color,text_limit,text_limit:visible,text_owner,text_card_type,text_bottom,分数符号:visible,费用token:visible,牌面背景:visible,牌面背景:color,[Item Note]
1,,False,,False,False,False,7,,3,,邓羌,,,False,苻坚,"<align=""center"">{card_friend}-{military}</align>",{action}获得X{battle}，X={military}标记数（最多4）。,,,,#3E5F91FF,
1,,False,,False,False,False,5,,2,,王猛,,,False,苻坚,"<align=""center"">{card_friend}-{affair}</align>",{action}{pay}2{battle}，{save}1张{candidate}。,,,,#3E5F91FF,
1,2,,1,,,,-6,,1,,招抚,,,False,苻坚,"<align=""center"">{card_strategy}-{affair}</align>",{decision}{supplant}1个{neighbor}{neutral}{location}，然后可以{play}1张{card_friend}。,,,,#1a1a1aFF,
1,2,,1,,,,2,,1,,尊奉江东,,{only}{north},,慕容,"<align=""center"">{card_strategy}-{power}</align>",{decision}选择1个{jin}{player}，给予其1张{hand}。传播1次{emp_culture}，{supplant}1个{neighbor}{neutral}{location}。,,,,#1a1a1aFF,
1,,False,3,,False,,-12,,3,,幽州突骑,,{control}[幽燕],,慕容,"<align=""center"">{card_strategy}-{military}</align>",{decision}2{battle}。本回合{execute}[{march}]时，获得1{vp},,,,#1a1a1aFF,
1,,False,,False,False,False,7,,3,,慕容恪,,,False,慕容,"<align=""center"">{card_friend}-{affair}</align>",{action}2{battle}，{discard}1张{hand}，然后摸1张{hand}。,,,,#3E5F91FF,
1,,False,2,,False,,4,,1,,草原部落,,{only}{north},,拓跋,"<align=""center"">{card_strategy}-{military}</align>",{decision}3{battle}，{save}{this}。{newline}{passive}每回合前2次[{march}]时，{fee}减1。{district}奖励改为0/1{vp}。,,,,#1a1a1aFF,
1,,False,,False,False,False,5,,2,,崔宏,,,False,拓跋,"<align=""center"">{card_friend}-{affair}</align>",{action}{discard}1张{hand}，然后摸1张牌。可以{pay}2{battle}，{supplant}1个{neighbor}{neutral}{location}。,,,,#3E5F91FF,
1,,False,,False,False,False,4,,1,,漠北征伐,#292929FF,{control}[塞外],,拓跋,"<align=""center"">{card_event}-{military}</align>",{save}{this}。将{reserve}的1个{army}放回游戏盒中。,,,,#F5EDDAFF,
1,,False,,False,False,False,7,,3,,王羲之,,,False,王导,"<align=""center"">{card_friend}-{culture}</align>",{action}获得X {vp}，X={culture}标记数。然后，可以{pay}2{vp}，摸1张牌。,,,,#3E5F91FF,
1,,False,,False,False,False,7,,3,,王敦,,,False,王导,"<align=""center"">{card_friend}-{power}</align>",{passive}当你的[{prestige}]是并列最高时，也可以{execute}{urusp}效果。每次{execute}{urusp}效果时，获得X {vp}，X=你的{power}标记数。,,,,#3E5F91FF,
1,1,,2,,,,-6,,2,,侨州郡县,,{only}{jin},,王导,"<align=""center"">{card_strategy}-{affair}</align>",{decision}{supplant}1个{neighbor}{neutral}{location}。获得2{battle}。,,,,#1a1a1aFF,
1,,False,,False,False,False,7,,3,,谢玄,,,False,谢安,"<align=""center"">{card_friend}-{military}</align>",{action}{play}1张{military}牌或征发1张{military}{candidate}，然后摸1张牌。,,,,#3E5F91FF,
1,,False,,False,False,False,5,,2,,谢道蕴,,,False,谢安,"<align=""center"">{card_friend}-{culture}</align>",{action}{play}1张{culture}牌或征发1张{culture}{candidate}。,,,,#3E5F91FF,
1,,False,,False,False,False,0,,0,,高卧东山,#292929FF,,False,谢安,"<align=""center"">{card_event}-{affair}</align>",{search}2次[策略]，然后{save}{this}。,,,,#F5EDDAFF,
1,,False,,False,False,False,3,,1,,郗超,,,False,郗鉴,"<align=""center"">{card_friend}-{affair}</align>",{action}{discard}1张{hand}，{abandon}1张{candidate}，然后摸1张{hand}并{supple}1张牌到{court},,,,#3E5F91FF,
1,1,,2,,,,-9,,2,,京口重镇,,{occupy}[京口],,郗鉴,"<align=""center"">{card_strategy}-{military}</align>",{decision}获得5{battle},,,,#1a1a1aFF,
1,,False,,False,False,False,0,,0,,流民帅,#292929FF,,False,郗鉴,"<align=""center"">{card_event}-{power}</align>",在本国{discard}牌区放置1张{refugee}。{supplant}1个非[江南][荆襄]{district}的{neutral}{location}。,,,,#F5EDDAFF,
1,,False,,False,False,False,10,,1,,通使建康,#292929FF,{only}{jin},,张轨,"<align=""center"">{card_event}-{power}</align>",如果有一条从[姑臧]到[建康]的全部{location}被{jin}势力{occupy}的线路，可以{play}，然后{save}{this}。,,,,#F5EDDAFF,
