[Item Amount],vp产能数字,vp产能数字:visible,军力数字,军力数字:visible,vp符号:visible,军力符号:visible,vp数字,vp数字:visible,费用数字,费用数字:visible,text_top,text_top:color,text_limit,text_limit:visible,text_owner,text_card_type,text_bottom,分数符号:visible,费用token:visible,牌面背景:visible,牌面背景:color,[Item Note]
1,,False,1,,False,,2,,0,,士卒,,,False,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle},,,,#1a1a1aFF,
1,,False,1,,False,,2,,0,,士卒,,,False,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle},,,,#1a1a1aFF,
1,,False,1,,False,,2,,0,,士卒,,,False,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle},,,,#1a1a1aFF,
1,,False,,False,False,False,,False,0,,流民,,,False,,,{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,False,,,,
1,,False,,False,False,False,,False,0,,流民,,,False,,,{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,False,,,,
1,,False,1,,False,,2,,0,,宫廷,,,False,{jin},"<align=""center"">{card_strategy}-{affair}</align>",{decision}{save}1张{candidate}。,,,,#1a1a1aFF,
1,2,,1,,,,0,,1,,加官进爵,,,False,{jin},"<align=""center"">{card_strategy}-{power}</align>",{decision}{pay}1张{hand}，提高1级{order}，传播1次{NeoTaosim}。{newline}{passive}[加官进爵]不能被{save}、征发或{abandon}。,,,,#1a1a1aFF,
1,,False,2,,False,,0,,1,,北伐,,,False,{jin},"<align=""center"">{card_strategy}-{military}</align>",{decision}2{battle}。从{jin}面板获得{expedition}。{newline}{passive}[北伐]不能被{save}、征发或{abandon}。,,,,#1a1a1aFF,
1,,False,1,,False,,2,,0,,征辟人才,,,False,{jin},"<align=""center"">{card_strategy}-{affair}</align>",{decision}摸2张牌。如果{affair}标记数>2，额外摸1张牌。,,,,#1a1a1aFF,
1,2,,,False,,False,2,,0,,清谈,,,False,{jin},"<align=""center"">{card_strategy}-{culture}</align>",{decision}6{vp},,,,#1a1a1aFF,
