[Item Amount],text_top,text_bottom,[Item Note]
1,天府之土,{jin}{control}[巴蜀]{district}：8vp{newline}{player}{control}[巴蜀]{district}：16vp,
1,江汉之固,{jin}{control}[荆州]{district}：7vp{newline}{player}{control}[荆州]{district}：18vp,
1,河洛旧都,{jin}{control}[中原]{district}：12vp{newline}{player}{control}[中原]{district}：24vp,
1,关中故畿,{jin}{control}[关中]{district}：11vp{newline}{player}{control}[关中]{district}：22vp,
1,海岱之地,{jin}{control}[山东]{district}：8vp{newline}{player}{control}[山东]{district}：16vp,
1,淮甸重镇,{jin}{control}[淮南]{district}：9vp{newline}{player}{control}[淮南]{district}：18vp,
1,赵魏雄藩,{jin}{control}[河北]{district}：11vp{newline}{player}{control}[河北]{district}：22vp,
1,表里山河,{jin}{control}[山西]{district}：9vp{newline}{player}{control}[山西]{district}：18vp,
1,流芳百世,{jin}{control}[功绩超过5]{district}：8vp{newline}{player}{control}[功绩最高，且超过7]{district}：16vp,
1,加九锡,{jin}{control}[威望超过7]{district}：12vp{newline}{player}{control}[威望最高，且超过第二名、第三名之和。]{district}：28vp,
1,加九锡,{jin}{control}[威望超过7]{district}：12vp{newline}{player}{control}[威望最高，且超过第二名、第三名之和。]{district}：28vp,
1,琴书继美,{jin}{control}[幕僚区和存档区有3个艺术标记]{district}：7vp{newline}{player}{control}[幕僚区和存档区有5个艺术标记]{district}：14vp,
1,遗臭万年,{jin}{control}[幕僚区和存档区有3个权力标记]{district}：7vp{newline}{player}{control}[幕僚区和存档区有5个权力标记]{district}：14vp,
1,敦悦五经,{jin}{control}[儒学等级超过3]{district}：6vp{newline}{player}{control}[儒学等级最高，且超过5]{district}：14vp,
1,清言世业,{jin}{control}[玄学等级超过3]{district}：6vp{newline}{player}{control}[玄学等级最高，且超过5]{district}：14vp,
1,崇奉三宝,{jin}{control}[佛学等级超过3]{district}：6vp{newline}{player}{control}[佛学等级最高，且超过5]{district}：14vp,
