[Item Amount],vp数字,费用数字,text_top,text_top:color,text_owner,text_card_type,text_bottom,牌面背景:color,[Item Note]
1,6,3,邓羌,,苻坚,"<align=""center"">{card_friend}-{military}</align>",{action}2{battle},#3E5F91FF,
1,6,3,王猛,,苻坚,"<align=""center"">{card_friend}-{affair}</align>",{passive}每次[{save}]时，获得2{battle}。,#3E5F91FF,
1,-6,2,招抚,,苻坚,"<align=""center"">{card_strategy}-{military}</align>",{decision}{supplant}1个{neighbor}{location}。{newline}{resource}1{battle}2{vp}。,,
1,4,1,尊奉江东,,慕容,"<align=""center"">{card_strategy}-{power}</align>",{decision}2{battle}，{save}{this}。{newline}{passive}{this}在{court}中时，{north}和晋势力不能相互使用[{march}]。{only}{north}势力{play}。{newline}{resource}{jin}获得3{vp}。,,
1,-12,3,幽州突骑,,慕容,"<align=""center"">{card_strategy}-{military}</align>",{decision}5{battle}。{newline}{passive}需要{occupy}[蓟]及{neighbor}的1个{location}，才能{play}。{newline}{resource}3{battle}-1{vp}。,,
1,6,3,慕容恪,,慕容,"<align=""center"">{card_friend}-{affair}</align>",{action}1{battle}，{discard}1张{hand}，然后摸1张{hand}。,#3E5F91FF,
1,4,2,草原部落,,拓跋,"<align=""center"">{card_strategy}-{military}</align>",{decision}3{battle}，{save}{this}。{newline}{passive}{this}在{court}中时，使用{fast}{execute}[{march}]时，减少1点{fee}。使用{fast}{execute}[{occupy}]时，增加1点{fee}或{pay}2{vp}。{newline}{resource}2{battle}。,,
1,3,1,崔宏,,拓跋,"<align=""center"">{card_friend}-{affair}</align>",{action}选择1项：{discard}1张{hand}，然后摸1张牌；或者{free}1次[{occupy}]。,#3E5F91FF,
1,5,1,漠北征伐,#292929FF,拓跋,"<align=""center"">{card_event}-{military}</align>",{control}[塞外]时，可以{play}。{save}{this}。将{reserve}的1个{army}放回游戏盒中。,#F5EDDAFF,
1,6,3,王羲之,,王导,"<align=""center"">{card_friend}-{art}</align>",{passive}每次{play}{art}牌或选择{art}策略时，摸1张牌。{newline}{enter}可以{discard}1张牌，额外提高1级{NeoTaosim}。,#3E5F91FF,
1,8,3,王敦,,王导,"<align=""center"">{card_friend}-{power}</align>",{passive}当你的[{prestige}]是并列最高时，也可以{execute}{urusp}效果。每次{execute}{urusp}效果时，摸1张牌并获得2{vp}。,#3E5F91FF,
1,-6,2,侨州郡县,,王导,"<align=""center"">{card_strategy}-{affair}</align>",{only}{jin}{player}{play}。{newline}{decision}{supplant}1个{neighbor}{neutral}{location}。获得1{battle}。{newline}{resource}1{battle}2{vp}。,,
1,6,3,谢玄,,谢安,"<align=""center"">{card_friend}-{military}</align>",{passive}每次{play}{military}牌或{execute}{military}策略，摸1张牌。,#3E5F91FF,
