[Item Amount],vp数字,费用数字,text_top,text_top:color,text_owner,text_card_type,text_bottom,牌面背景:color,[Item Note]
1,2,0,士卒,,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,士卒,,{jin},"<align=""center"">{card_strategy}</align>",{decision}3{battle}{newline}{resource}1{battle}。,,
1,2,0,流民,,{jin},"<align=""center"">{card_strategy}</align>",{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,,
1,2,0,流民,,{jin},"<align=""center"">{card_strategy}</align>",{passive}{refugee}被{save}时，自动放置回供应堆。{save}{refugee}的{player}获得2{vp}。,,
1,2,0,宫廷,,{jin},"<align=""center"">{card_strategy}-{affair}</align>",{decision}{save}1张{candidate}。{newline}{resource}2{vp}。,,
1,0,1,加官进爵,,{jin},"<align=""center"">{card_strategy}-{culture}</align>",{decision}{pay}1{vp}，提高1级{order}，提高1级{emp_culture}。{newline}{passive}[加官进爵]不能被{save}。{newline}{resource}3{vp}。,,
1,0,1,北伐,,{jin},"<align=""center"">{card_strategy}-{military}</align>",{decision}2{battle}。从{jin}面板获得{expedition}。{newline}{passive}[北伐]不能被{save}。{newline}{resource}1{battle}1{vp}。,,
1,2,0,征辟人才,,{jin},"<align=""center"">{card_strategy}</align>",{decision}摸2张牌{newline}{resource}2{vp}。,,
